"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_checkSetRedis_key_found_old","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestRedisManager","test_redis_manager","",""
"","1","test_queryMetAPI_error","tests.unit.processes.ingest","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestMetProcess","test_met_process","",""
"","2","test_checkIAReadability_true","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestCatalogMapping","test_oclcCatalog_mapping","",""
"","0","test_no_edition","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestModelRecord","test_model_record","",""
"","4","test_construct_opds_Feed_success_auto_collection","tests.unit","Wed Oct 30 13:12:08 GMT 2024","passed","Wed Oct 30 13:12:08 GMT 2024","TestCollectionBlueprint","test_api_collection_blueprint","",""
"","36","test_storeFoundCover","tests.unit.processes.file","Wed Oct 30 13:12:06 GMT 2024","passed","Wed Oct 30 13:12:06 GMT 2024","TestCoverProcess","test_cover_process","",""
"","1","test_formatResponseObject","tests.unit","Wed Oct 30 13:12:09 GMT 2024","passed","Wed Oct 30 13:12:09 GMT 2024","TestAPIUtils","test_api_utils","",""
"","2","test_parse_catalog_record_success","tests.unit.processes.frbr","Wed Oct 30 13:12:06 GMT 2024","passed","Wed Oct 30 13:12:06 GMT 2024","TestOCLCCatalogProcess","test_catalog_process","",""
"","0","test_applyFormatting_standard","tests.unit","Wed Oct 30 13:12:07 GMT 2024","passed","Wed Oct 30 13:12:07 GMT 2024","TestUofMMapping","test_UofM_mapping","",""
"","1","test_checkSetRedis_key_found_recent","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestRedisManager","test_redis_manager","",""
"","1","test_extract_language","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","","test_muse_mapping","",""
"","1","test_addFacet","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSFacet","test_opds_feed","",""
"","0","test_initializer","tests.unit","Wed Oct 30 13:12:11 GMT 2024","passed","Wed Oct 30 13:12:11 GMT 2024","TestOPDSFacet","test_opds_group","",""
