Report_Name|NYPL DRB Book Usage by Title / Downloads
Report_ID|d8561e38-f5ce-408d-a865-13deb604a711
Report_Description|Downloads of your books from NYPL's Digital Research Books by title.
Publisher_Name|UofM
Reporting_Period|2024-08-01 to 2024-08-13
Created|2024-09-12
Created_By|NYPL

Book Title|Book ID|Authors|ISBN(s)|OCLC Number(s)|Publication Year|Disciplines|Usage Type|August 2024|Reporting Period Total
On the current situation in the Ukraine|https://drb-qa.nypl.org/edition/6978634|Mazlakh, Serhiĭ M; Shakhrai, Vasyl'|0472085905, 9780472085903|90825|1970||Limited Access|11|11
Educating economists|https://drb-qa.nypl.org/edition/6978075|Colander, David; Brenner, Reuven |0472094866, 9780472094868, 047206486X, 9780472064861|24907931|1992|Economics, Education|Limited Access|8|8
Cosa, the making of a Roman town|https://drb-qa.nypl.org/edition/6977884|Brown, Frank Edward|0472041002, 9780472041008|5675403|1979|Classical Studies - Roman, History, Archaeology - Roman|Limited Access|15|15
