Report_Name|NYPL DRB Book Usage by Title / Views
Report_ID|36455e7d-a0cb-4a0d-a20c-33d26c3e869d
Report_Description|Views of your books from NYPL's Digital Research Books by title.
Publisher_Name|UofM
Reporting_Period|2024-03-01 to 2024-03-30
Created|2024-09-22
Created_By|NYPL

Book Title|Book ID|Authors|ISBN(s)|OCLC Number(s)|Publication Year|Disciplines|Usage Type|March 2024|Reporting Period Total
Catching on to American idioms|https://drb-qa.nypl.org/edition/6977904|Ellin-Elmakiss, Esther|9780472080496, 0472080490|11570491|1984|English as a Second Language (ESL)|Limited Access|1|1
