Report_Name|NYPL DRB Book Usage by Title / Views
Report_ID|e3a66e24-29a8-4870-8d38-bca566a8305b
Report_Description|Views of your books from NYPL's Digital Research Books by title.
Publisher_Name|doab
Reporting_Period|2024-08-01 to 2024-08-13
Created|2024-08-14
Created_By|NYPL

Book Title|Book ID|Authors|ISBN(s)|Copyright Year|Publication Year|Disciplines|Usage Type|August 2024|Reporting Period Total
Robot Soccer|20.500.12854/64780|Papic, Vladan. ()|9789533070360, 9789535158714|||Robotics in sports, Artificial intelligence, Electronic books, Robotics, Soccer, Automatic control engineering|View Only / No Download Access|12|12
Sustainability Matters|20.500.12854/90634|Ghitter, Geoff [Author]; Keough, Noel, ()|9781773852492, 9781773852485|||City planning, urban studies, envrionmental studies, net zero carbon, urban governance, BUSINESS & ECONOMICS / Development / Sustainable Development, Ecology, Sustainable living, renewable energy, City planning--Environmental aspects, sustainable cities, Sustainable urban development, Alberta--Calgary, urban planning, sustainability, Urbanisme durable, no-growth economics, fossil fuel transition, growth economics, Alberta, urban design, Calgary (Alta.), e-books, equity, Style de vie durable, sustainable energy, sustainable development, Electronic books, carbon zero, energy transitions, fossil fuel, Livres numériques|View Only / No Download Access|1|1
Breve historia de la Facultad de Ciencias Jurídicas y Políticas de la Universidad Nacional del Altiplano de Puno, camino al bicentenario de su creación|20.500.12854/98449|Castilla Colquehuanca, Jhoni Shang; Ardiles Franco, Jaime; ESPEZUA SALMON, BORIS GILMAR; Contreras Vargas, Mercedes; Mejía Tapia, Julio César; Arias Mamani, Winy Efigenia Paz; Espinoza Coila, Michael; Loza Huarachi, Edwin Alejandro; Rodríguez Chalco, Raúl Humberto|978-612-5010-11-7|||Derecho  Consuetudinario, Indigenismo  Jurídico, Labor académica, Legislación Indígena, Abogado, Criminología, indigenismo, Responsabilidad social, racismo, derecho penal, Universidad, Derecho, Puno, Francisco Chukiwanca Ayulo|View Only / No Download Access|2|2
Faust und Geist|20.500.12854/38328|Paterno, Wolfgang|9783205207108|||Michel Foucault, Literatur, Literature, Bertolt Brecht, Cultural Studies, Boxen, Boxing, Weimarer Republik, Kullturhistorie, Weimar Republic, Sport|View Only / No Download Access|1|1
Pays candidats au processus de développement. Capacité d’absorption, assistance extérieure et modèles de croissance économique|20.500.12854/55854|Nana-Sinkam, Samuel. ()|9783110811865|||Hochschulschrift, Desarrolo economico, aide au développement, dissertations (form), Question monétaire, Mathematical models, Economic development, Sub-Saharan Africa, Développement économique, Underdeveloped areas, Mathematical models, Finances, developing countries, Economic history, Africa, Sub-Saharan, Economic conditions, Mathematical models, Entwicklungsländer, Paises en vias de desarrollo, Africa Sub-Saharan, Aide économique, Electronic books, Africa Subsahariana, SOCIAL SCIENCE / Sociology / General, modèle mathématique, Assistance technique, Pays en voie de développement, Thèses et écrits académiques, Wirtschaftswachstum, Sviluppo economico, Afrique subsaharienne, Paesi in via di sviluppo, Afrique noire, économie sous-développée, Africa, Sub-Saharan, Economische toestand. Economische ontwikkeling|View Only / No Download Access|1|1
Osteoarthritis|20.500.12854/66708||9789535121367, 9789535172437|||Immunology|View Only / No Download Access|1|1
Intracerebral Hemorrhage|20.500.12854/66663||9789535117223, 9789535172239|||Neurosciences|View Only / No Download Access|1|1
Enzyklopädie der slowenischen Kulturgeschichte in Kärnten/Koroška, Band 3: PO-Z|20.500.12854/38043|Schnabl, Bojan-Ilija; Sturm-Schnabl, Katja||||Klagenfurt am Wörthersee, cultrual history, interkulturelle Studien, Kulturgeschichte, Slowenen, Kärnten, Carinthia, Slovenes, Kärntner Slowenen, intercultural studies, Slovenes from Carinthia|View Only / No Download Access|1|1
Why Knowing What To Do Is Not Enough|20.500.12854/32603|Bovens, Mark; Keizer, Anne-Greet||||Behavioral sciences, Personality, Social work, Social psychology, Public policy, Political science|View Only / No Download Access|1|1
14. mezinárodní vědecká konference Didaktická konference 2021|20.500.12854/96901|Kloknerová, Lenka; Barnová, Silvia; Lengyelfalusy, Tomáš; Beránek, Jaroslav; Marks, Igor; Nekvapil, Jan; Prokeš, Lubomír; Dytrtová, Radmila; Tkačik, Štefan; Geršicová, Zuzana; Sládek, Petr; Balošáková, Michaela; Jaklová Dytrtová, Jana; Zelníčková, Helena; Stachová, Darina; Turek, Dušan|9788021099982|||didactics of natural sciences, distance learning, activating teaching methods, didactics of mathematics, didactics of vocational education|View Only / No Download Access|1|1
Climate Change and Agriculture|20.500.12854/67065||9781789856682, 9781789856675, 9781838800390|||Climate change|View Only / No Download Access|1|1
Steuerbedarf und Geldpolitik in der wachsenden Wirtschaft. Geldschöpfung als Mittel der Staatsfinanzierung|20.500.12854/60035|Pahlke, Jürgen; Jürgen Pahlke. ()|9783111416113|||Monetary policy, Geldtheorie, Fiscal policy, Geldschöpfung, Öffentliche Einnahmen, BUSINESS & ECONOMICS, Electronic books, Private finance, Währungsreform, Taxes, Hochschulschrift|View Only / No Download Access|1|1
Gender, Judging and the Courts in Africa|20.500.12854/78019|Dawuni, Josephine|9781000473308, 9780367344580, 9780429327865, 9781032129525|||Law and society, gender issues, Sex discrimination against women--Law and legislation, Women--Legal status, laws, etc, African Commission on Human and Peoples' Rights, Economic Community of West African States, Africa, Women's rights, Women judges|View Only / No Download Access|1|1
My Name Is Not Natasha'|20.500.12854/30027|Davies, John||||wetenschap algemeen, popular science|View Only / No Download Access|1|1
Fiber Optic Sensors in Chemical and Biological Applications|20.500.12854/84512||9783036541570, 9783036541587|||ammonia detection, yeast cultivation, hair analysis, photocrosslinking, optical fiber biosensor, mercury, diazo resin, fiber optic sensor, layer-by-layer, porphyrin, mercapto compound, fiber optical sensors, Pseudomonas putida TVA8, hollow-core photonic crystal fiber, OFDR type DAS, U-bent optical fiber, localized surface plasmon resonance, Escherichia coli 652T7, feedback regulation, glucose detection, gold nanoparticles, Mach–Zehnder interferometer, poly(styrene sulfonate), fiber optics, refractive index, optical biosensor, real-time events detection, refractive index sensor, ppb, phase fading solution, toluene, microchip laser, long period grating, whole-cell biosensor, bioluminescent bioreporter, chemical sensing, high SNR, laser-induced plasma spectroscopy, gas sensor|View Only / No Download Access|1|1
The Chatter of the Visible|20.500.12854/32853|McBride, Patrizia C.; Patrizia C McBride. ()|9780472900664|||Photography, Germany, Llibres electrònics, Dada, The arts, Photomontage, Kurt Schwitters, Photography -- History -- 1918-1933 -- Germany, Deutschland, Aesthetics, Art narratif, ART, Photographie, Fotografie, Fotomontage, László Moholy-Nagy, History, Electronic books, History of art, Mimesis, Allemagne, Livres numériques, Fotografia, Alemanya|View Only / No Download Access|1|1
Child Poverty, Evidence and Policy|20.500.12854/35595|Sumner, Andy; Jones, Nicola, ()|9781847424471|||Social Welfare & Social Work, Age group sociology, Poor children, Society and culture: general, Poverty, Development studies, Case studies, Fattiga barn, Entwicklungsländer, Children, Society and social sciences Society and social sciences, SOCIAL SCIENCE, Age groups: children, Armut, Society, Países en vías de desarrollo, Child, Social Science / Children's Studies, Well-being, Sociology, Evidence, Internationale udviklingsstudier, Kind, Fallstudiensammlung, POLITICAL SCIENCE, Infancia, Pobreza, Enfants de familles pauvres, Sozialpolitik, Soziale Lage, Social Sciences, Social Welfare & Social Work - General, Developing countries, Udviklingsstrategier, International, Welt, Pauvreté, Zufriedenheit, Developed countries, Entwicklungslñder, Social groups, Electronic books, Age groups, Política social, Mainstreaming, Fattigdom, Electronic resource, Kinderarmut, Childhood, Millennium Development Goals, Kinder, Society & culture: general, Child poverty, Armutspolitik, Social policy and particular groups, Development, Child welfare, Policy|View Only / No Download Access|1|1
